"id","cnpj","natureza_juridica","razao_social","data_inicio_atividades","data_situacao_cadastral","data_situacao_especial","motivo_situacao_cadastral","situacao_cadastral","situacao_especial","nome_fantasia"
1229,"46125774000140","1210",CONSORCIO INTERMUNICIPAL MULTIFINALITARIO DO BAIXO SAPUCAI - CIMBASP,"20220317","20220317","","00","02","",CIMBASP
1227,"53249431000152","1210",CONSORCIO INTERMUNICIPAL MULTIFINALITARIO DE MINAS GERAIS - COMGRANBEL,"20231023","20231023","","00","02","",CONSORCIO INTERMUNICIPAL MULTIFINALITARIO DE MINAS GERA
1277,"05493726000127","1210",CONSORCIO INTERMUNICIPAL PARA ATERRO SANITARIO - CIAS,"20021114","0","","00","02","",CONSORCIO INTERMUNICIPAL PARA ATERRO SANITARIO - CIAS
1361,"02375463000163","1210",CONSORCIO INTERMUNICIPAL QUIRIRI,"19971218","20190220","","00","02","",CONSORCIO QUIRIRI
1372,"04894776000153","1210",CONSORCIO INTERMUNICIPAL SERRA DA MANTIQUEIRA,"20020124","20020124","","00","02","",""
1585,"08917588000154","1210",CONSORCIO PUBLICO PARA GESTAO DA ENERGIA ELETRICA E SERVICOS PUBLICOS,"20070614","20070614","","00","02","",CIGIP
1295,"09230005000185","1210",CONSORCIO INTERMUNICIPAL PARA GESTAO DE RESIDUOS SOLIDOS URBANOS,"20071011","20220908","","00","02","",CONRESOL
1594,"11451059000112","1210",CONSORCIO PUBLICO PARA TRATAMENTO E DESTINACAO FINAL DE RESIDUOS SOLIDOS DA REGIAO NORTE DO PROJETO ESPIRITO SANTO SEM LIXAO - CONORTE,"20090727","20241226","","00","02","",CONORTE
1657,"05802877000381","1210",INSTITUICAO DE COOPERACAO INTERMUNICIPAL DO MEDIO PARAOPEBA,"20111022","20111022","","00","02","",CISMEP
1306,"16869135000128","1210",CONSORCIO INTERMUNICIPAL PARA O DESENVOLVIMENTO AMBIENTAL SUSTENTAVEL - INTER-AMBIENTAL,"20120911","20190225","","00","02","",INTER-AMBIENTAL
1534,"18273727000108","1210",CONSORCIO PUBLICO INTERMUNICIPAL DE INOVACAO E DESENVOLVIMENTO DO ESTADO DO PARANA - CINDEPAR,"20130426","20130426","","00","02","",CINDEPAR
1214,"21406451000101","1210",CONSORCIO INTERMUNICIPAL MULTIFINALITARIO DA AMAG,"20141024","20141024","","00","02","",CIMAG
1573,"18720497000188","1210",CONSORCIO PUBLICO INTERMUNICIPAL PARA O DESENVOLVIMENTO SUSTENTAVEL DA REGIAO DO VALE DO MEDIO IVAI DO ESTADO DO PARANA - CIMEIV,"20130620","20220712","","00","02","",CIMEIV
1283,"21990202000106","1210",CONSORCIO INTERMUNICIPAL PARA CUIDADOS DE CRIANCAS E ADOLESCENTES EM RISCO FAMILIAR,"20140919","20240912","","00","02","",""
1501,"29707393000150","1210",CONSORCIO PUBLICO INTERFEDERATIVO DE SAUDE DA REGIAO DO BAIXO SUL,"20170720","20170720","","00","02","",CONSORCIO DE SAUDE DO BAIXO SUL
1506,"32104619000132","1210",CONSORCIO PUBLICO INTERFEDERATIVO DE SAUDE PIEMONTE DA CHAPADA NORTE,"20181003","20181003","","00","02","",CONSORCIO PUBLICO INTERFEDERATIVO DE SAUDE DA REGIAO DE
1222,"32980376000104","1210",CONSORCIO INTERMUNICIPAL MULTIFINALITARIO DA REGIAO DA AMFRI - CIM-AMFRI,"20190301","20190301","","00","02","",CIM-AMFRI
